[00:00.00]  There
[00:42.40]  a
[00:42.56]  surface
[00:42.82]  problem.
[00:43.56]  You've
[00:43.82]  been
[00:44.08]  told
[00:44.30]  it's
[00:44.54]  a
[00:44.72]  surface
[00:45.00]  problem
[00:45.28]  your
[00:45.50]  whole
[00:45.72]  life,
[00:46.34]  because
[00:46.64]  a
[00:46.92]  surface
[00:47.22]  problem
[00:47.56]  is
[00:47.90]  one
[00:48.04]  they
[00:48.20]  can
[00:48.42]  sell
[00:48.58]  you
[00:48.82]  a
[00:48.92]  cream
[00:49.08]  for,
[00:49.62]  it
[00:49.92]  isn't,
[00:50.54]  it's
[00:50.88]  a
[00:51.02]  supply
[00:51.30]  problem.
[00:52.02]  Your
[00:52.30]  skin,
[00:52.82]  from
[00:53.04]  the
[00:53.28]  inside,
[00:53.98]  is
[00:54.16]  a
[00:54.22]  little
[00:54.46]  starved
[00:54.98]  and
[00:55.22]  a
[00:55.26]  little
[00:55.52]  thirsty.
[00:56.24]  And
[00:56.46]  you
[00:56.64]  don't
[00:56.86]  fix
[00:57.08]  a
[00:57.36]  supply
[00:57.52]  problem
[00:57.92]  by
[00:58.18]  painting
[00:58.54]  something
[00:58.90]  on
[00:59.16]  top,
[00:59.82]  you
[01:00.00]  fix
[01:00.20]  it
[01:00.34]  from
[01:00.54]  the
[01:00.74]  inside.
[01:01.50]  At
[01:01.62]  the
[01:01.84]  one
[01:02.06]  hour
[01:02.20]  of
[01:02.38]  the
[01:02.50]  day,
[01:02.88]  your
[01:02.98]  body
[01:03.22]  is
[01:03.52]  actually
[01:03.88]  paying
[01:04.10]  attention.
[01:04.86]  Look
[01:05.08]  at
[01:05.26]  the
[01:05.40]  back
[01:05.56]  of
[01:05.70]  your
[01:05.92]  hand
[01:06.04]  for
[01:06.26]  a
[01:06.44]  second,
[01:07.16]  just
[01:07.44]  the
[01:07.66]  hand
[01:07.84]  holding
[01:08.18]  your
[01:08.46]  phone.
[01:09.28]  See
[01:09.52]  how
[01:09.72]  the
[01:09.96]  skin
[01:10.16]  there
[01:10.32]  looks
[01:10.58]  a
[01:10.70]  little
[01:11.00]  flatter
[01:11.30]  than
[01:11.50]  it
[01:11.74]  used
[01:11.94]  to,
[01:12.42]  a
[01:12.60]  little
[01:12.94]  duller,
[01:13.40]  maybe
[01:13.68]  a
[01:13.76]  little
[01:14.12]  crepy
[01:14.40]  when
[01:14.58]  you
[01:14.80]  turn
[01:14.94]  it
[01:15.12]  in
[01:15.22]  the
[01:15.36]  light.
[01:16.22]  Now,
[01:16.68]  without
[01:16.96]  getting
[01:17.18]  up,
[01:17.64]  without
[01:17.84]  going
[01:18.10]  anywhere,
[01:18.86]  don't
[01:19.14]  you
[01:19.30]  dare
[01:19.48]  go
[01:19.66]  find
[01:19.86]  a
[01:20.04]  mirror,
[01:20.66]  just
[01:20.96]  run
[01:21.08]  your
[01:21.36]  tongue
[01:21.60]  lightly
[01:21.98]  over
[01:22.24]  your
[01:22.46]  lips,
[01:23.28]  a
[01:23.42]  little
[01:23.64]  dry,
[01:24.00]  right?
[01:24.22]  Most
[01:24.86]  of
[01:25.04]  us,
[01:25.32]  first
[01:25.60]  thing,
[01:25.98]  are
[01:26.22]  drier
[01:26.48]  than
[01:26.62]  we
[01:26.88]  think.
[01:27.76]  That
[01:27.90]  dryness
[01:28.26]  you
[01:28.36]  can
[01:28.62]  feel
[01:28.72]  on
[01:28.88]  your
[01:29.06]  lips
[01:29.28]  is
[01:29.54]  the
[01:29.78]  same
[01:29.98]  dryness
[01:30.36]  happening
[01:30.68]  in
[01:30.92]  the
[01:31.06]  skin
[01:31.18]  of
[01:31.36]  your
[01:31.56]  face
[01:31.82]  and
[01:32.02]  your
[01:32.24]  hands,
[01:32.84]  all
[01:33.12]  night,
[01:33.72]  every
[01:33.90]  night,
[01:34.28]  and
[01:34.58]  it
[01:34.72]  is
[01:34.94]  the
[01:35.06]  single
[01:35.44]  most
[01:35.84]  fixable
[01:36.26]  thing
[01:36.54]  about
[01:36.90]  aging
[01:37.20]  skin,
[01:37.94]  and
[01:38.10]  almost
[01:38.42]  nobody's
[01:38.98]  told
[01:39.10]  you
[01:39.30]  the
[01:39.42]  cheapest
[01:39.72]  way
[01:39.94]  to
[01:40.16]  fix
[01:40.30]  it
[01:40.50]  is
[01:40.70]  a
[01:40.92]  glass,
[01:41.46]  not
[01:41.74]  a
[01:41.92]  jar.
[01:42.32]  Because
[01:42.52]  here's
[01:42.82]  the
[01:43.02]  truth,
[01:43.88]  the
[01:44.10]  beauty
[01:44.44]  aisle
[01:44.72]  really
[01:45.22]  does
[01:45.50]  not
[01:45.80]  want
[01:45.98]  sitting
[01:46.24]  in
[01:46.42]  your
[01:46.66]  head.
[01:47.78]  Skin
[01:48.00]  this
[01:48.32]  age
[01:48.60]  isn't
[01:49.06]  mostly
[01:49.56]  damaged,
[01:50.72]  it's
[01:51.12]  mostly
[01:51.68]  under
[01:52.02]  supplied.
[01:53.18]  Under
[01:53.52]  watered
[01:54.12]  and
[01:54.20]  under
[01:54.54]  protected,
[01:55.60]  and
[01:55.68]  the
[01:55.90]  $2
[01:56.24]  fix
[01:56.56]  for
[01:56.84]  both
[01:57.18]  of
[01:57.26]  those
[01:57.50]  things
[01:57.74]  at
[01:58.00]  once
[01:58.28]  has
[01:58.76]  been
[01:59.14]  steeping
[01:59.48]  in
[01:59.74]  kitchens
[02:00.10]  for
[02:00.50]  400
[02:01.04]  years.
[02:02.96]  It's
[02:03.16]  rosemary,
[02:04.16]  plain
[02:04.34]  rosemary,
[02:05.34]  a
[02:05.56]  small
[02:05.76]  handful
[02:06.08]  of
[02:06.28]  the
[02:06.52]  fresh
[02:06.74]  sprigs
[02:07.20]  or
[02:07.58]  the
[02:07.84]  dried
[02:08.04]  kind
[02:08.28]  from
[02:08.50]  the
[02:08.74]  jar,
[02:09.56]  steeped,
[02:10.14]  not
[02:10.34]  boiled,
[02:11.00]  in
[02:11.18]  hot
[02:11.42]  water
[02:11.84]  and
[02:12.22]  drunk
[02:12.60]  first
[02:13.08]  thing.
[02:13.92]  Rosemary
[02:14.46]  is
[02:14.70]  one
[02:14.90]  of
[02:15.00]  the
[02:15.12]  most
[02:15.62]  antioxidant
[02:16.38]  dense
[02:16.60]  plants
[02:17.10]  that's
[02:17.72]  just
[02:18.34]  sitting
[02:18.88]  there,
[02:19.56]  common,
[02:20.00]  cheap,
[02:20.92]  legal,
[02:21.68]  in
[02:21.92]  every
[02:22.26]  store,
[02:23.14]  and
[02:23.36]  9
[02:23.58]  out
[02:23.74]  of
[02:23.82]  10
[02:24.00]  people
[02:24.34]  who
[02:24.56]  try
[02:24.78]  drinking
[02:25.14]  it
[02:25.30]  for
[02:25.44]  their
[02:25.72]  skin
[02:26.02]  ruin
[02:26.72]  it
[02:26.90]  with
[02:27.16]  one
[02:27.40]  small
[02:27.72]  mistake
[02:28.12]  in
[02:28.26]  how
[02:28.44]  they
[02:28.66]  make
[02:28.84]  it.
[02:29.44]  The
[02:29.76]  exact
[02:30.06]  opposite
[02:30.48]  of
[02:30.66]  what
[02:30.80]  you'd
[02:31.10]  assume,
[02:31.84]  and
[02:32.00]  hold
[02:32.26]  on
[02:32.44]  to
[02:32.58]  that,
[02:33.04]  because
[02:33.30]  I'm
[02:33.50]  going
[02:33.66]  to
[02:33.90]  pay
[02:34.06]  that
[02:34.32]  loop
[02:34.48]  off
[02:34.80]  at
[02:35.00]  the
[02:35.12]  very
[02:35.42]  end,
[02:35.78]  and
[02:36.02]  I
[02:36.28]  promise
[02:36.54]  it's
[02:36.90]  not
[02:37.14]  what
[02:37.28]  you're
[02:37.48]  guessing.
[02:38.16]  Now
[02:38.40]  before
[02:38.70]  we
[02:38.90]  go
[02:39.10]  one
[02:39.34]  step
[02:39.52]  further,
[02:40.52]  everything
[02:40.76]  I'm
[02:40.98]  about
[02:41.20]  to
[02:41.42]  describe,
[02:42.24]  the
[02:42.50]  amount
[02:42.82]  of
[02:43.06]  rosemary
[02:43.52]  per
[02:43.82]  cup,
[02:44.46]  fresh
[02:44.80]  versus
[02:45.30]  dried,
[02:45.94]  the
[02:46.30]  exact
[02:46.72]  water
[02:47.06]  temperature
[02:47.54]  that
[02:47.78]  keeps
[02:48.04]  the
[02:48.30]  good
[02:48.46]  stuff
[02:48.72]  alive
[02:49.10]  instead
[02:49.48]  of
[02:49.66]  killing
[02:49.92]  it,
[02:50.56]  how
[02:50.78]  many
[02:51.04]  days
[02:51.24]  a
[02:51.46]  week,
[02:51.82]  all
[02:52.08]  of
[02:52.20]  it,
[02:52.58]  I've
[02:52.96]  put
[02:53.12]  it
[02:53.30]  in
[02:53.40]  one
[02:53.68]  simple
[02:54.06]  guide,
[02:54.82]  and
[02:54.94]  the
[02:55.08]  link
[02:55.28]  is
[02:55.50]  right
[02:55.74]  at
[02:55.90]  the
[02:56.02]  top
[02:56.20]  of
[02:56.38]  the
[02:56.52]  description
[02:56.96]  below
[02:57.28]  this
[02:57.50]  video.
[02:58.18]  It's
[02:58.46]  free
[02:58.68]  to
[02:58.90]  read.
[02:59.56]  I'll
[02:59.86]  remind
[03:00.16]  you
[03:00.34]  once
[03:00.64]  more
[03:00.86]  later,
[03:01.46]  but
[03:01.78]  if
[03:01.90]  you're
[03:02.12]  the
[03:02.26]  kind
[03:02.46]  of
[03:02.58]  person
[03:02.86]  who
[03:03.06]  likes
[03:03.26]  to
[03:03.48]  have
[03:03.58]  it
[03:03.76]  in
[03:03.92]  front
[03:04.08]  of
[03:04.24]  you
[03:04.36]  while
[03:04.58]  you
[03:04.84]  follow
[03:05.06]  along,
[03:05.80]  it's
[03:06.10]  down
[03:06.30]  there.
[03:07.00]  Go
[03:07.24]  grab
[03:07.44]  it
[03:07.60]  now
[03:07.80]  so
[03:07.94]  you've
[03:08.14]  got
[03:08.30]  it.
[03:08.64]  Here's
[03:08.92]  what
[03:09.10]  I
[03:09.20]  can
[03:09.56]  honestly
[03:09.96]  promise
[03:10.32]  you
[03:10.64]  if
[03:10.86]  you
[03:11.04]  do
[03:11.16]  this
[03:11.32]  the
[03:11.54]  right
[03:11.74]  way,
[03:12.16]  and
[03:12.40]  I'm
[03:12.56]  going
[03:12.72]  to
[03:12.88]  be
[03:13.06]  careful
[03:13.34]  about
[03:13.58]  the
[03:13.82]  timeline,
[03:14.46]  because
[03:14.82]  that
[03:15.18]  honesty
[03:15.54]  is
[03:15.84]  the
[03:16.04]  whole
[03:16.26]  reason
[03:16.56]  you're
[03:16.82]  still
[03:17.02]  listening
[03:17.40]  to
[03:17.58]  a
[03:17.74]  stranger
[03:18.08]  talk
[03:18.36]  about
[03:18.58]  your
[03:18.80]  face.
[03:19.72]  In
[03:19.92]  the
[03:20.14]  first
[03:20.34]  week
[03:20.50]  to
[03:20.66]  two
[03:20.86]  weeks,
[03:21.24]  it's
[03:21.44]  mostly
[03:21.76]  water
[03:22.10]  and
[03:22.42]  calm.
[03:23.06]  The
[03:23.26]  morning
[03:23.58]  puffiness
[03:23.92]  settles,
[03:24.84]  the
[03:25.00]  skin
[03:25.22]  feels
[03:25.56]  less
[03:25.90]  tight
[03:26.12]  and
[03:26.38]  papery,
[03:27.18]  your
[03:27.34]  lips
[03:27.54]  stop
[03:27.78]  being
[03:28.08]  dry
[03:28.28]  by
[03:28.52]  10am.
[03:29.70]  Somewhere
[03:30.10]  around
[03:30.44]  week
[03:30.66]  4
[03:30.96]  to
[03:31.08]  6
[03:31.38]  is
[03:31.62]  when
[03:31.82]  people
[03:32.16]  start
[03:32.44]  using
[03:32.78]  the
[03:32.98]  word
[03:33.18]  glow
[03:33.56]  without
[03:34.24]  me
[03:34.54]  prompting
[03:34.92]  them.
[03:35.62]  A
[03:35.80]  little
[03:35.96]  more
[03:36.24]  even,
[03:36.84]  a
[03:36.88]  little
[03:37.16]  brighter,
[03:38.06]  that
[03:38.32]  grey
[03:38.66]  tired
[03:39.06]  cast
[03:39.46]  lifting
[03:39.94]  off.
[03:40.72]  And
[03:41.02]  the
[03:41.16]  deeper
[03:41.44]  stuff,
[03:42.10]  the
[03:42.24]  darker
[03:42.56]  spots,
[03:43.28]  the
[03:43.42]  loss
[03:43.54]  of
[03:43.84]  firmness,
[03:44.48]  that
[03:44.72]  takes
[03:44.98]  the
[03:45.20]  longest.
[03:45.50]  Think
[03:46.08]  2
[03:46.46] -3
[03:46.72]  months,
[03:47.36]  and
[03:47.64]  it
[03:47.84]  eases,
[03:48.58]  it
[03:48.70]  does
[03:48.92]  not
[03:49.12]  erase.
[03:50.28]  Nobody's
[03:50.76]  spots
[03:50.76]  vanish
[03:51.14]  from
[03:51.38]  a
[03:51.56]  glass
[03:51.70]  of
[03:51.92]  water,
[03:52.48]  and
[03:52.58]  I'd
[03:52.86]  be
[03:53.00]  lying
[03:53.18]  to
[03:53.36]  you
[03:53.52]  if
[03:53.70]  I
[03:53.80]  said
[03:53.98]  otherwise.
[03:55.26]  What
[03:55.42]  happens
[03:55.74]  is
[03:55.98]  people
[03:56.26]  stop
[03:56.54]  asking
[03:56.88]  if
[03:57.04]  you're
[03:57.24]  feeling
[03:57.50]  ok,
[03:58.20]  that's
[03:58.52]  the
[03:58.68]  honest
[03:58.92]  version.
[03:59.46]  I
[03:59.58]  should
[03:59.80]  introduce
[04:00.24]  myself,
[04:01.00]  since
[04:01.24]  I'm
[04:01.44]  sitting
[04:01.72]  here
[04:02.08]  asking
[04:02.42]  you
[04:02.62]  to
[04:02.84]  trust
[04:03.02]  me
[04:03.18]  with
[04:03.42]  your
[04:03.60]  skin
[04:03.88]  and
[04:04.20]  your
[04:04.42]  morning.
[04:05.50]  My
[04:05.66]  name
[04:05.84]  is
[04:05.96]  Dr.
[04:06.50]  Federer.
[04:07.38]  I'm
[04:07.58]  a
[04:07.72]  physician,
[04:08.58]  and
[04:08.68]  for
[04:08.90]  years
[04:09.16]  now
[04:09.44]  most
[04:09.74]  of
[04:09.90]  what
[04:10.02]  I
[04:10.22]  actually
[04:10.54]  do
[04:10.92]  is
[04:11.22]  help
[04:11.40]  people
[04:11.74]  use
[04:11.96]  the
[04:12.20]  chemistry
[04:12.76]  of
[04:13.08]  ordinary
[04:13.56]  plants
[04:13.88]  on
[04:14.20]  mature
[04:14.46]  skin.
[04:15.58]  Properly,
[04:16.12]  safely,
[04:17.00]  no
[04:17.14]  magic,
[04:18.04]  no,
[04:18.42]  the
[04:18.60]  doctors
[04:18.92]  are
[04:19.18]  hiding
[04:19.44]  this
[04:19.68]  from
[04:19.90]  you.
[04:20.68]  I
[04:20.92]  started
[04:21.26]  doing
[04:21.50]  it
[04:21.70]  because
[04:21.96]  I
[04:22.10]  got
[04:22.26]  tired
[04:22.56]  of
[04:22.80]  watching
[04:23.06]  good,
[04:23.52]  smart
[04:23.72]  people
[04:24.08]  hand
[04:24.38]  over
[04:24.58]  a
[04:24.72]  mortgage
[04:25.06]  payment
[04:25.42]  for
[04:25.66]  jars
[04:25.96]  and
[04:26.16]  bottles
[04:26.46]  of
[04:26.66]  hope.
[04:27.72]  So
[04:28.24]  let's
[04:28.76]  do
[04:28.94]  this
[04:29.14]  one
[04:29.30]  properly.
[04:29.92]  Let
[04:30.08]  me
[04:30.26]  tell
[04:30.46]  you
[04:30.64]  about
[04:30.88]  one
[04:31.12]  woman,
[04:31.64]  I
[04:31.88]  won't
[04:32.14]  use
[04:32.34]  her
[04:32.58]  name,
[04:33.18]  who
[04:33.40]  sat
[04:33.64]  where
[04:33.82]  you're
[04:34.08]  sitting,
[04:34.74]  in
[04:34.94]  a
[04:35.12]  manner
[04:35.24]  of
[04:35.52]  speaking,
[04:36.38]  absolutely
[04:36.84]  certain
[04:37.18]  her
[04:37.46]  skin
[04:37.70]  had,
[04:38.34]  in
[04:38.54]  her
[04:38.78]  words,
[04:39.44]  just
[04:39.74]  given
[04:39.92]  up
[04:40.96]  66.
[04:42.02]  And
[04:42.36]  she'd
[04:42.54]  been
[04:42.78]  trying,
[04:43.44]  that
[04:43.70]  was
[04:43.94]  the
[04:44.06]  sad
[04:44.28]  part.
[04:44.90]  She
[04:45.06]  wasn't
[04:45.40]  lazy
[04:45.74]  about
[04:46.00]  it.
[04:46.52]  She
[04:46.74]  pulled
[04:46.96]  a
[04:47.10]  whole
[04:47.34]  row
[04:47.48]  of
[04:47.70]  things
[04:47.86]  out
[04:48.08]  of
[04:48.18]  her
[04:48.38]  bag,
[04:49.02]  a
[04:49.22]  collagen
[04:49.50]  powder,
[04:50.34]  two
[04:50.54]  of
[04:50.62]  those
[04:50.92]  fancy
[04:51.38]  anti
[04:51.98] -oxidant
[04:52.40]  beauty
[04:52.74]  waters
[04:53.16]  that
[04:53.72]  cost
[04:53.92]  more
[04:54.20]  than
[04:54.34]  a
[04:54.46]  nice
[04:54.68]  lunch,
[04:55.44]  a
[04:55.66]  serum
[04:55.88]  with
[04:56.10]  a
[04:56.24]  French
[04:56.44]  name,
[04:57.32]  more
[04:57.58]  than
[04:57.84]  $500
[04:58.34]  across
[04:58.92]  the
[04:59.14]  year
[04:59.26]  she
[04:59.46]  figured.
[05:00.16]  And
[05:00.40]  her
[05:00.64]  skin
[05:00.84]  honestly
[05:01.36]  wasn't
[05:01.64]  damaged,
[05:02.46]  it
[05:02.62]  was
[05:02.90]  thirsty,
[05:03.78]  it
[05:03.84]  was
[05:04.16]  tired
[05:04.50]  and
[05:04.84]  dry
[05:05.06]  and
[05:05.38]  underfed,
[05:05.90]  And
[05:06.40]  every
[05:06.82]  expensive
[05:07.34]  thing
[05:07.54]  she
[05:07.78]  owned
[05:08.02]  was
[05:08.26]  designed
[05:08.58]  to
[05:08.80]  sit
[05:09.04]  on
[05:09.40]  top
[05:09.66]  of
[05:09.84]  that
[05:10.08]  problem,
[05:10.68]  instead
[05:11.10]  of
[05:11.30]  feeding
[05:11.48]  it.
[05:12.16]  So
[05:12.32]  I
[05:12.44]  told
[05:12.60]  her
[05:12.80]  to
[05:12.92]  stop
[05:13.14]  all
[05:13.40]  of
[05:13.50]  it
[05:13.60]  for
[05:13.78]  eight
[05:14.04]  weeks,
[05:14.74]  put
[05:14.82]  the
[05:15.04]  powders
[05:15.30]  in
[05:15.48]  a
[05:15.64]  drawer
[05:15.84]  and
[05:16.34]  drink
[05:16.60]  one
[05:16.90]  glass
[05:17.12]  of
[05:17.32]  rosemary
[05:17.72]  water
[05:18.04]  every
[05:18.40]  morning
[05:18.68]  before
[05:18.98]  her
[05:19.18]  coffee.
[05:19.90]  That's
[05:20.26]  it.
[05:20.92]  She
[05:21.08]  came
[05:21.32]  back
[05:21.60]  and
[05:21.74]  she
[05:21.92]  didn't
[05:22.10]  say,
[05:22.72]  my
[05:22.94]  spots
[05:23.22]  are
[05:23.46]  gone,
[05:24.06]  because
[05:24.34]  they
[05:24.60]  weren't.
[05:25.04]  She
[05:25.34]  said
[05:25.50]  her
[05:25.74]  granddaughter
[05:26.14]  had
[05:26.48]  asked
[05:26.84]  if
[05:27.06]  she'd
[05:27.32]  done
[05:27.56]  something
[05:28.00]  and
[05:28.48]  she
[05:28.74]  couldn't
[05:28.96]  stop
[05:29.24]  grinning
[05:29.64]  telling
[05:29.88]  me.
[05:30.64]  That's
[05:30.98]  the
[05:31.10]  sentence
[05:31.44]  I'm
[05:31.74]  after
[05:31.98]  for
[05:32.24]  you.
[05:32.86]  Not
[05:33.20]  gone.
[05:34.26]  Just
[05:34.52]  someone
[05:35.18]  noticing.
[05:36.14]  So
[05:36.34]  let
[05:36.52]  me
[05:36.66]  walk
[05:36.88]  you
[05:37.06]  through
[05:37.32]  why
[05:37.58]  rosemary
[05:38.10]  specifically,
[05:39.24]  and
[05:39.30]  not
[05:39.54]  just
[05:39.76]  any
[05:40.06]  tea,
[05:40.72]  because
[05:40.94]  the
[05:41.24]  why
[05:41.46]  is
[05:41.68]  what
[05:41.88]  makes
[05:42.10]  you
[05:42.36]  actually
[05:42.76]  do
[05:42.98]  it
[05:43.16]  every
[05:43.50]  morning,
[05:44.18]  instead
[05:44.50]  of
[05:44.76]  quitting
[05:44.94]  on
[05:45.18]  day
[05:45.40]  9
[05:45.70]  when
[05:46.14]  nothing's
[05:46.62]  happened
[05:46.90]  yet.
[05:47.22]  There
[05:47.38]  are
[05:47.68]  three
[05:47.90]  things
[05:48.30]  working
[05:48.70]  in
[05:48.90]  that
[05:49.14]  little
[05:49.42]  glass,
[05:49.90]  and
[05:50.10]  I
[05:50.30]  want
[05:50.46]  you
[05:50.60]  to
[05:50.78]  know
[05:50.92]  each
[05:51.26]  one,
[05:51.82]  because
[05:52.06]  knowing
[05:52.42]  why
[05:52.78]  is
[05:53.02]  what
[05:53.18]  keeps
[05:53.46]  a
[05:53.72]  habit
[05:53.92]  alive.
[05:55.10]  The
[05:55.28]  first,
[05:55.70]  say
[05:55.88]  it
[05:56.02]  with
[05:56.14]  me
[05:56.36]  because
[05:56.62]  it's
[05:56.88]  the
[05:57.04]  headline,
[05:57.94]  Carnosic
[05:58.52]  Acid,
[05:59.40]  Carnosic
[06:00.20]  Acid.
[06:00.74]  That
[06:01.22]  is
[06:01.40]  one
[06:01.60]  of
[06:01.70]  the
[06:01.78]  most
[06:02.04]  powerful
[06:02.52]  antioxidants
[06:03.16]  we've
[06:03.56]  found
[06:03.76]  in
[06:03.92]  a
[06:04.04]  common
[06:04.28]  plant,
[06:05.14]  and
[06:05.16]  when
[06:05.34]  you
[06:05.54]  take
[06:05.68]  it
[06:05.82]  in,
[06:06.36]  it
[06:06.46]  travels
[06:06.78]  in
[06:06.94]  your
[06:07.22]  blood
[06:07.36]  to
[06:07.62]  every
[06:07.96]  tissue
[06:08.26]  you've
[06:08.58]  got,
[06:09.22]  skin
[06:09.44]  included,
[06:10.32]  and
[06:10.48]  it
[06:10.72]  stands
[06:10.92]  guard
[06:11.20]  over
[06:11.50]  your
[06:11.78]  collagen,
[06:12.56]  the
[06:12.74]  scaffolding
[06:13.28]  under
[06:13.58]  your
[06:13.86]  skin,
[06:14.56]  and
[06:14.76]  slows
[06:14.98]  down
[06:15.28]  the
[06:15.50]  daily
[06:15.74]  rusting
[06:16.08]  out
[06:16.40]  that
[06:16.64]  sun
[06:16.94]  and
[06:17.30]  stress
[06:17.62]  and
[06:18.10]  just
[06:18.34]  being
[06:18.56]  alive
[06:18.90]  keep
[06:19.18]  doing
[06:19.44]  to
[06:19.62]  it.
[06:20.36]  The
[06:20.60]  second
[06:20.84]  is
[06:21.10]  Rosmarinic
[06:21.82]  Acid,
[06:22.58]  and
[06:22.68]  that
[06:22.90]  one
[06:23.10]  calms
[06:23.46]  the
[06:23.72]  low,
[06:24.26]  quiet
[06:24.42]  inflammation
[06:24.98]  that
[06:25.30]  sits
[06:25.50]  under
[06:25.80]  aging
[06:26.14]  skin
[06:26.56]  and
[06:26.98]  keeps
[06:27.18]  it
[06:27.42]  a
[06:27.44]  little
[06:27.70]  red,
[06:28.40]  a
[06:28.40]  little
[06:28.74]  puffy,
[06:29.46]  a
[06:29.54]  little
[06:29.80]  irritated,
[06:30.70]  without
[06:30.92]  you
[06:31.18]  ever
[06:31.44]  noticing
[06:31.82]  it's
[06:32.04]  there.
[06:32.86]  Calm
[06:33.10]  that
[06:33.34]  down
[06:33.56]  from
[06:33.82]  the
[06:34.08]  inside,
[06:34.76]  and
[06:34.86]  the
[06:35.00]  skin
[06:35.22]  looks,
[06:35.84]  the
[06:36.12]  only
[06:36.36]  word
[06:36.58]  is,
[06:37.68]  rested.
[06:38.04]  It
[06:38.26]  looks
[06:38.52]  rested.
[06:39.26]  And
[06:39.42]  the
[06:39.58]  third
[06:39.80]  thing
[06:40.14]  isn't
[06:40.44]  even
[06:40.76]  a
[06:40.90]  compound,
[06:41.72]  it's
[06:41.96]  the
[06:42.16]  most
[06:42.54]  obvious
[06:42.80]  thing
[06:43.00]  in
[06:43.20]  the
[06:43.40]  world,
[06:43.74]  and
[06:43.88]  the
[06:44.08]  one
[06:44.32]  everybody
[06:44.76]  skips,
[06:45.66]  it's
[06:45.90]  the
[06:46.12]  water.
[06:46.94]  It's
[06:47.28]  a
[06:47.44]  full
[06:47.64]  glass
[06:47.82]  of
[06:48.08]  water
[06:48.40]  at
[06:48.62]  the
[06:48.92]  exact
[06:49.14]  moment
[06:49.46]  your
[06:49.68]  body
[06:49.96]  is
[06:50.24]  most
[06:50.52]  dehydrated,
[06:51.66]  carrying
[06:51.90]  the
[06:52.14]  other
[06:52.34]  two
[06:52.56]  in.
[06:52.80]  Plum
[06:53.66]  skin
[06:54.00]  is,
[06:54.50]  in
[06:54.66]  large
[06:54.92]  part,
[06:55.70]  hydrated
[06:55.80]  skin.
[06:56.72]  You
[06:56.78]  cannot
[06:57.10]  moisturize
[06:57.72]  your
[06:57.98]  way
[06:58.14]  out
[06:58.34]  of
[06:58.48]  a
[06:58.62]  body
[06:58.80]  that's
[06:59.16]  short
